,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,210,2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358,549.7857143
,211,2010,3,201003,Perth,Sydney,Perth - Sydney,478,734.0714286
,212,2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158,242.6428571
,213,2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190,291.7857143
,214,2010,3,201003,Sydney,Townsville,Sydney - Townsville,228,350.1428571
,215,2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,328.6428571
,216,2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154,236.5
,217,2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198,302.1670146
,218,2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224,341.8455115
,219,2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348,531.0814196
,220,2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127,193.8141962
,221,2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38,57.99164927
,222,2010,4,201004,Adelaide,Perth,Adelaide - Perth,298,454.776618
,223,2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,271.2788309
,224,2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116,177.0271399
,225,2010,4,201004,Albury,Sydney,Albury - Sydney,118,180.0793319
,226,2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508,775.256785
,227,2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186,283.8538622
,228,2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538,821.039666
,229,2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198,302.1670146
,230,2010,4,201004,Avalon,Sydney,Avalon - Sydney,78,119.0354906
,231,2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808,1233.085595
,232,2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638,973.6492693
,233,2010,4,201004,Ballina,Sydney,Ballina - Sydney,158,241.1231733
,234,2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218,332.6889353
,235,2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198,302.1670146
,236,2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258,393.7327766
,237,2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246,375.4196242
,238,2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182,277.7494781
,239,2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,210.6012526
,240,2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358,546.34238
,241,2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,148.95,227.3120042
,242,2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158,241.1231733
,243,2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544,830.1962422
,244,2010,4,201004,Brisbane,Perth,Brisbane - Perth,404,616.5427975
,245,2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138,210.6012526
,246,2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88,134.2964509
,247,2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138,210.6012526
,248,2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148,225.8622129
,249,2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78,119.0354906
,250,2010,4,201004,Broome,Perth,Broome - Perth,298,454.776618
,251,2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170,259.4363257
,252,2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,378.95,578.3140919
,253,2010,4,201004,Cairns,Sydney,Cairns - Sydney,258,393.7327766
,254,2010,4,201004,Cairns,Townsville,Cairns - Townsville,98,149.5574113
,255,2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57,86.9874739
,256,2010,4,201004,Canberra,Sydney,Canberra - Sydney,98,149.5574113
,257,2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148,225.8622129
,258,2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328,500.559499
,259,2010,4,201004,Darwin,Perth,Darwin - Perth,298,454.776618
,260,2010,4,201004,Darwin,Sydney,Darwin - Sydney,438,668.4300626
,261,2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198,302.1670146
,262,2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247.22,377.2814614
,263,2010,4,201004,Geraldton,Perth,Geraldton - Perth,277,422.7286013
,264,2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57,86.9874739
,265,2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238,363.2108559
,266,2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230,351.0020877
,267,2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56,85.46137787
,268,2010,4,201004,Hobart,Sydney,Hobart - Sydney,178,271.6450939
,269,2010,4,201004,Kalgoorlie,Perth,Kalgoorlie - Perth,359,547.868476
,270,2010,4,201004,Karratha,Perth,Karratha - Perth,398,607.3862213
,271,2010,4,201004,Launceston,Melbourne,Launceston - Melbourne,47,71.72651357
,272,2010,4,201004,Launceston,Sydney,Launceston - Sydney,174,265.5407098
,273,2010,4,201004,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137,209.0751566
,274,2010,4,201004,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138,210.6012526
,275,2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117,178.5532359
,276,2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178,271.6450939
,277,2010,4,201004,Melbourne,Perth,Melbourne - Perth,296,451.7244259
,278,2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57,86.9874739
,279,2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108,164.8183716
,280,2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429,654.6951983
,281,2010,4,201004,Perth,Newman,Perth - Newman,368,561.6033403
,282,2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298,454.776618
,283,2010,4,201004,Perth,Sydney,Perth - Sydney,388,592.125261
,284,2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118,180.0793319
,285,2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190,289.9582463
,286,2010,4,201004,Sydney,Townsville,Sydney - Townsville,238,363.2108559
,287,2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.92,326.4624635
,288,2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148,225.8622129
,289,2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318,485.2985386
,290,2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96,146.5052192
,291,2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278,424.2546973
,292,2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,378.95,578.3140919
,293,2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96,146.5052192
,294,2010,5,201005,Adelaide,Melbourne,Adelaide - Melbourne,56,85.46137787
,295,2010,5,201005,Adelaide,Perth,Adelaide - Perth,298,454.776618
,296,2010,5,201005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,271.1262213
,297,2010,5,201005,Adelaide,Sydney,Adelaide - Sydney,76,115.9832985
,298,2010,5,201005,Albury,Sydney,Albury - Sydney,150,228.914405
,299,2010,5,201005,Alice Springs,Darwin,Alice Springs - Darwin,568,866.822547
,300,2010,5,201005,Alice Springs,Melbourne,Alice Springs - Melbourne,206,314.3757829
,301,2010,5,201005,Alice Springs,Sydney,Alice Springs - Sydney,658,1004.17119
,302,2010,5,201005,Avalon,Brisbane,Avalon - Brisbane,188,286.9060543
,303,2010,5,201005,Avalon,Sydney,Avalon - Sydney,78,119.0354906
,304,2010,5,201005,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1065.215031
,305,2010,5,201005,Ayers Rock,Sydney,Ayers Rock - Sydney,527,804.2526096
,306,2010,5,201005,Ballina,Sydney,Ballina - Sydney,198,302.1670146
,307,2010,5,201005,Brisbane,Cairns,Brisbane - Cairns,208,317.4279749
,308,2010,5,201005,Brisbane,Canberra,Brisbane - Canberra,219,334.2150313
,309,2010,5,201005,Brisbane,Darwin,Brisbane - Darwin,398,607.3862213
,310,2010,5,201005,Brisbane,Emerald,Brisbane - Emerald,246,375.4196242
,311,2010,5,201005,Brisbane,Gladstone,Brisbane - Gladstone,182,277.7494781
,312,2010,5,201005,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,241.1231733
,313,2010,5,201005,Brisbane,Mackay,Brisbane - Mackay,168.95,257.8339248
,314,2010,5,201005,Brisbane,Melbourne,Brisbane - Melbourne,116,177.0271399
,315,2010,5,201005,Brisbane,Mount Isa,Brisbane - Mount Isa,582,888.1878914
,316,2010,5,201005,Brisbane,Perth,Brisbane - Perth,494,753.8914405
,317,2010,5,201005,Brisbane,Proserpine,Brisbane - Proserpine,148.95,227.3120042
,318,2010,5,201005,Brisbane,Rockhampton,Brisbane - Rockhampton,38,57.99164927
,319,2010,5,201005,Brisbane,Sydney,Brisbane - Sydney,128,195.3402923
,320,2010,5,201005,Brisbane,Townsville,Brisbane - Townsville,188,286.9060543
,321,2010,5,201005,Brisbane,Newcastle,Brisbane - Newcastle,108,164.8183716
,322,2010,5,201005,Broome,Perth,Broome - Perth,378,576.8643006
,323,2010,5,201005,Bundaberg,Brisbane,Bundaberg - Brisbane,210,320.480167
,324,2010,5,201005,Cairns,Melbourne,Cairns - Melbourne,479.9,732.3734864
