,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,12643,2025,3,202503,Ayers Rock,Sydney,Ayers Rock - Sydney,429,445.7697228
,12644,2025,3,202503,Ballina,Sydney,Ballina - Sydney,96,99.75266525
,12645,2025,3,202503,Brisbane,Cairns,Brisbane - Cairns,178,184.9580668
,12646,2025,3,202503,Brisbane,Canberra,Brisbane - Canberra,378,392.7761194
,12647,2025,3,202503,Brisbane,Darwin,Brisbane - Darwin,398,413.5579247
,12648,2025,3,202503,Brisbane,Emerald,Brisbane - Emerald,498,517.466951
,12649,2025,3,202503,Brisbane,Gladstone,Brisbane - Gladstone,455.01,472.7964606
,12650,2025,3,202503,Brisbane,Hamilton Island,Brisbane - Hamilton Island,852.99,886.3336034
,12651,2025,3,202503,Brisbane,Hobart,Brisbane - Hobart,390,405.2452026
,12652,2025,3,202503,Brisbane,Launceston,Brisbane - Launceston,414,430.1833689
,12653,2025,3,202503,Brisbane,Mackay,Brisbane - Mackay,218,226.5216773
,12654,2025,3,202503,Brisbane,Melbourne,Brisbane - Melbourne,284,295.1016347
,12655,2025,3,202503,Brisbane,Mount Isa,Brisbane - Mount Isa,873.99,908.1544989
,12656,2025,3,202503,Brisbane,Perth,Brisbane - Perth,568,590.2032694
,12657,2025,3,202503,Brisbane,Proserpine,Brisbane - Proserpine,338,351.2125089
,12658,2025,3,202503,Brisbane,Rockhampton,Brisbane - Rockhampton,298.01,309.6592893
,12659,2025,3,202503,Brisbane,Sydney,Brisbane - Sydney,146,151.7071784
,12660,2025,3,202503,Brisbane,Townsville,Brisbane - Townsville,284,295.1016347
,12661,2025,3,202503,Brisbane,Newcastle,Brisbane - Newcastle,128,133.0035537
,12662,2025,3,202503,Broome,Perth,Broome - Perth,398,413.5579247
,12663,2025,3,202503,Bundaberg,Brisbane,Bundaberg - Brisbane,442,459.2778962
,12664,2025,3,202503,Cairns,Gold Coast,Cairns - Gold Coast,306,317.9616205
,12665,2025,3,202503,Cairns,Melbourne,Cairns - Melbourne,236,245.2253021
,12666,2025,3,202503,Cairns,Sydney,Cairns - Sydney,210,218.2089552
,12667,2025,3,202503,Cairns,Townsville,Cairns - Townsville,328,340.8216063
,12668,2025,3,202503,Canberra,Gold Coast,Canberra - Gold Coast,258.01,268.0956787
,12669,2025,3,202503,Canberra,Melbourne,Canberra - Melbourne,329.01,341.8710874
,12670,2025,3,202503,Canberra,Sydney,Canberra - Sydney,420.01,436.4283014
,12671,2025,3,202503,Coffs Harbour,Sydney,Coffs Harbour - Sydney,398,413.5579247
,12672,2025,3,202503,Darwin,Melbourne,Darwin - Melbourne,607,630.7277896
,12673,2025,3,202503,Darwin,Perth,Darwin - Perth,624,648.3923241
,12674,2025,3,202503,Darwin,Sydney,Darwin - Sydney,551,572.5387349
,12675,2025,3,202503,Devonport,Melbourne,Devonport - Melbourne,427.47,444.1799147
,12676,2025,3,202503,Dubbo,Sydney,Dubbo - Sydney,398,413.5579247
,12677,2025,3,202503,Gold Coast,Sydney,Gold Coast - Sydney,140,145.4726368
,12678,2025,3,202503,Hamilton Island,Sydney,Hamilton Island - Sydney,500,519.5451315
,12679,2025,3,202503,Hobart,Melbourne,Hobart - Melbourne,176,182.8798863
,12680,2025,3,202503,Hobart,Sydney,Hobart - Sydney,236,245.2253021
,12681,2025,3,202503,Kalgoorlie,Perth,Kalgoorlie - Perth,557.99,579.8019758
,12682,2025,3,202503,Karratha,Perth,Karratha - Perth,958,995.4484719
,12683,2025,3,202503,Launceston,Melbourne,Launceston - Melbourne,169,175.6062544
,12684,2025,3,202503,Launceston,Sydney,Launceston - Sydney,155,161.0589908
,12685,2025,3,202503,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,266,276.39801
,12686,2025,3,202503,Sunshine Coast,Sydney,Sunshine Coast - Sydney,124,128.8471926
,12687,2025,3,202503,Melbourne,Gold Coast,Melbourne - Gold Coast,260.01,270.1738593
,12688,2025,3,202503,Melbourne,Mildura,Melbourne - Mildura,358,371.9943141
,12689,2025,3,202503,Melbourne,Perth,Melbourne - Perth,478,496.6851457
,12690,2025,3,202503,Melbourne,Sydney,Melbourne - Sydney,166,172.4889837
,12691,2025,3,202503,Melbourne,Townsville,Melbourne - Townsville,236,245.2253021
,12692,2025,3,202503,Melbourne,Newcastle,Melbourne - Newcastle,188,195.3489694
,12693,2025,3,202503,Paraburdoo,Perth,Paraburdoo - Perth,898,933.1030561
,12694,2025,3,202503,Perth,Newman,Perth - Newman,840.01,872.8462118
,12695,2025,3,202503,Perth,Port Hedland,Perth - Port Hedland,770,800.0995025
,12696,2025,3,202503,Perth,Sydney,Perth - Sydney,538.01,559.0409524
,12697,2025,3,202503,Port Macquarie,Sydney,Port Macquarie - Sydney,298,309.6488984
,12698,2025,3,202503,Sydney,Tamworth,Sydney - Tamworth,458,475.9033404
,12699,2025,3,202503,Sydney,Townsville,Sydney - Townsville,337,350.1734186
,12700,2025,3,202503,Sydney,Wagga Wagga,Sydney - Wagga Wagga,398,413.5579247
,12701,2025,4,202504,Adelaide,Alice Springs,Adelaide - Alice Springs,500,515.8786168
,12702,2025,4,202504,Adelaide,Brisbane,Adelaide - Brisbane,430,443.6556104
,12703,2025,4,202504,Adelaide,Canberra,Adelaide - Canberra,564.01,581.9213973
,12704,2025,4,202504,Adelaide,Darwin,Adelaide - Darwin,487,502.4657728
,12705,2025,4,202504,Adelaide,Gold Coast,Adelaide - Gold Coast,375,386.9089626
,12706,2025,4,202504,Adelaide,Melbourne,Adelaide - Melbourne,265,273.4156669
,12707,2025,4,202504,Adelaide,Perth,Adelaide - Perth,614,633.4989414
,12708,2025,4,202504,Adelaide,Port Lincoln,Adelaide - Port Lincoln,358,369.3690896
,12709,2025,4,202504,Adelaide,Sydney,Adelaide - Sydney,294,303.3366267
,12710,2025,4,202504,Albury,Sydney,Albury - Sydney,388,400.3218066
,12711,2025,4,202504,Avalon,Gold Coast,Avalon - Gold Coast,229,236.2724065
,12712,2025,4,202504,Avalon,Sydney,Avalon - Sydney,129,133.0966831
,12713,2025,4,202504,Ayers Rock,Sydney,Ayers Rock - Sydney,1128,1163.822159
,12714,2025,4,202504,Ballina,Sydney,Ballina - Sydney,247,254.8440367
,12715,2025,4,202504,Brisbane,Cairns,Brisbane - Cairns,178,183.6527876
,12716,2025,4,202504,Brisbane,Canberra,Brisbane - Canberra,364,375.559633
,12717,2025,4,202504,Brisbane,Darwin,Brisbane - Darwin,358,369.3690896
,12718,2025,4,202504,Brisbane,Emerald,Brisbane - Emerald,564,581.9110797
,12719,2025,4,202504,Brisbane,Gladstone,Brisbane - Gladstone,384.01,396.2050953
,12720,2025,4,202504,Brisbane,Hamilton Island,Brisbane - Hamilton Island,399.01,411.6814538
,12721,2025,4,202504,Brisbane,Hobart,Brisbane - Hobart,416,429.2110092
,12722,2025,4,202504,Brisbane,Launceston,Brisbane - Launceston,408,420.9569513
,12723,2025,4,202504,Brisbane,Mackay,Brisbane - Mackay,238,245.5582216
,12724,2025,4,202504,Brisbane,Melbourne,Brisbane - Melbourne,314,323.9717713
,12725,2025,4,202504,Brisbane,Mount Isa,Brisbane - Mount Isa,707.99,730.4738038
,12726,2025,4,202504,Brisbane,Perth,Brisbane - Perth,598,616.9908257
,12727,2025,4,202504,Brisbane,Proserpine,Brisbane - Proserpine,368,379.686662
,12728,2025,4,202504,Brisbane,Rockhampton,Brisbane - Rockhampton,306.01,315.7280311
,12729,2025,4,202504,Brisbane,Sydney,Brisbane - Sydney,188,193.9703599
,12730,2025,4,202504,Brisbane,Townsville,Brisbane - Townsville,374,385.8772054
,12731,2025,4,202504,Brisbane,Newcastle,Brisbane - Newcastle,128,132.0649259
,12732,2025,4,202504,Broome,Perth,Broome - Perth,398,410.639379
,12733,2025,4,202504,Bundaberg,Brisbane,Bundaberg - Brisbane,400,412.7028934
,12734,2025,4,202504,Cairns,Gold Coast,Cairns - Gold Coast,282,290.9555399
,12735,2025,4,202504,Cairns,Melbourne,Cairns - Melbourne,416,429.2110092
,12736,2025,4,202504,Cairns,Sydney,Cairns - Sydney,440,453.9731828
,12737,2025,4,202504,Cairns,Townsville,Cairns - Townsville,328,338.4163726
,12738,2025,4,202504,Canberra,Gold Coast,Canberra - Gold Coast,265,273.4156669
,12739,2025,4,202504,Canberra,Melbourne,Canberra - Melbourne,258,266.1933663
,12740,2025,4,202504,Canberra,Sydney,Canberra - Sydney,429,442.6238532
,12741,2025,4,202504,Coffs Harbour,Sydney,Coffs Harbour - Sydney,378,390.0042343
,12742,2025,4,202504,Darwin,Melbourne,Darwin - Melbourne,438,451.9096683
,12743,2025,4,202504,Darwin,Perth,Darwin - Perth,744,767.6273818
,12744,2025,4,202504,Darwin,Sydney,Darwin - Sydney,419,432.3062809
,12745,2025,4,202504,Devonport,Melbourne,Devonport - Melbourne,378,390.0042343
,12746,2025,4,202504,Dubbo,Sydney,Dubbo - Sydney,398,410.639379
,12747,2025,4,202504,Gold Coast,Sydney,Gold Coast - Sydney,181,186.7480593
,12748,2025,4,202504,Hamilton Island,Sydney,Hamilton Island - Sydney,464,478.7353564
,12749,2025,4,202504,Hobart,Melbourne,Hobart - Melbourne,338,348.733945
,12750,2025,4,202504,Hobart,Sydney,Hobart - Sydney,526,542.7043049
,12751,2025,4,202504,Kalgoorlie,Perth,Kalgoorlie - Perth,557.99,575.7102188
,12752,2025,4,202504,Karratha,Perth,Karratha - Perth,823.98,850.1473253
,12753,2025,4,202504,Launceston,Melbourne,Launceston - Melbourne,517.99,534.4399294
,12754,2025,4,202504,Launceston,Sydney,Launceston - Sydney,682,703.6584333
,12755,2025,4,202504,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,401,413.7346507
,12756,2025,4,202504,Sunshine Coast,Sydney,Sunshine Coast - Sydney,351,362.146789
,12757,2025,4,202504,Melbourne,Gold Coast,Melbourne - Gold Coast,179,184.6845448
,12758,2025,4,202504,Melbourne,Mildura,Melbourne - Mildura,338,348.733945
,12759,2025,4,202504,Melbourne,Perth,Melbourne - Perth,668,689.213832
,12760,2025,4,202504,Melbourne,Sydney,Melbourne - Sydney,178,183.6527876
,12761,2025,4,202504,Melbourne,Townsville,Melbourne - Townsville,347,358.0197601
,12762,2025,4,202504,Melbourne,Newcastle,Melbourne - Newcastle,118,121.7473536
,12763,2025,4,202504,Paraburdoo,Perth,Paraburdoo - Perth,898,926.5179958
,12764,2025,4,202504,Perth,Newman,Perth - Newman,840.01,866.6863938
,12765,2025,4,202504,Perth,Port Hedland,Perth - Port Hedland,885.99,914.1265914
,12766,2025,4,202504,Perth,Sydney,Perth - Sydney,670,691.2773465
,12767,2025,4,202504,Port Macquarie,Sydney,Port Macquarie - Sydney,298,307.4636556
,12768,2025,4,202504,Sydney,Tamworth,Sydney - Tamworth,458,472.544813
,12769,2025,4,202504,Sydney,Townsville,Sydney - Townsville,371,382.7819337
,12770,2025,4,202504,Sydney,Wagga Wagga,Sydney - Wagga Wagga,398,410.639379
,12771,2025,5,202505,Adelaide,Alice Springs,Adelaide - Alice Springs,420,433.3380381
,12772,2025,5,202505,Adelaide,Brisbane,Adelaide - Brisbane,370,381.7501764
,12773,2025,5,202505,Adelaide,Canberra,Adelaide - Canberra,514.01,530.3335356
,12774,2025,5,202505,Adelaide,Darwin,Adelaide - Darwin,651,671.6739591
,12775,2025,5,202505,Adelaide,Gold Coast,Adelaide - Gold Coast,255,263.0980946
,12776,2025,5,202505,Adelaide,Melbourne,Adelaide - Melbourne,185,190.8750882
,12777,2025,5,202505,Adelaide,Perth,Adelaide - Perth,366,377.6231475
,12778,2025,5,202505,Adelaide,Port Lincoln,Adelaide - Port Lincoln,358,369.3690896
,12779,2025,5,202505,Adelaide,Sydney,Adelaide - Sydney,278,286.8285109
,12780,2025,5,202505,Albury,Sydney,Albury - Sydney,398,410.639379
,12781,2025,5,202505,Avalon,Gold Coast,Avalon - Gold Coast,181,186.7480593
,12782,2025,5,202505,Avalon,Sydney,Avalon - Sydney,114,117.6203246
,12783,2025,5,202505,Ayers Rock,Sydney,Ayers Rock - Sydney,575,593.2604093
,12784,2025,5,202505,Ballina,Sydney,Ballina - Sydney,107,110.398024
,12785,2025,5,202505,Brisbane,Cairns,Brisbane - Cairns,187,192.9386027
,12786,2025,5,202505,Brisbane,Canberra,Brisbane - Canberra,290,299.2095977
,12787,2025,5,202505,Brisbane,Darwin,Brisbane - Darwin,358,369.3690896
,12788,2025,5,202505,Brisbane,Emerald,Brisbane - Emerald,438,451.9096683
,12789,2025,5,202505,Brisbane,Gladstone,Brisbane - Gladstone,470.01,484.9362174
,12790,2025,5,202505,Brisbane,Hamilton Island,Brisbane - Hamilton Island,324.01,334.2996613
,12791,2025,5,202505,Brisbane,Hobart,Brisbane - Hobart,312,321.9082569
,12792,2025,5,202505,Brisbane,Launceston,Brisbane - Launceston,338,348.733945
,12793,2025,5,202505,Brisbane,Mackay,Brisbane - Mackay,168,173.3352152
,12794,2025,5,202505,Brisbane,Melbourne,Brisbane - Melbourne,190,196.0338744
,12795,2025,5,202505,Brisbane,Mount Isa,Brisbane - Mount Isa,843.99,870.7927876
,12796,2025,5,202505,Brisbane,Perth,Brisbane - Perth,448,462.2272406
,12797,2025,5,202505,Brisbane,Proserpine,Brisbane - Proserpine,194,200.1609033
,12798,2025,5,202505,Brisbane,Rockhampton,Brisbane - Rockhampton,258.01,266.2036838
,12799,2025,5,202505,Brisbane,Sydney,Brisbane - Sydney,188,193.9703599
,12800,2025,5,202505,Brisbane,Townsville,Brisbane - Townsville,309,318.8129852
,12801,2025,5,202505,Brisbane,Newcastle,Brisbane - Newcastle,118,121.7473536
,12802,2025,5,202505,Broome,Perth,Broome - Perth,449,463.2589979
,12803,2025,5,202505,Bundaberg,Brisbane,Bundaberg - Brisbane,360,371.4326041
,12804,2025,5,202505,Cairns,Gold Coast,Cairns - Gold Coast,324,334.2893437
,12805,2025,5,202505,Cairns,Melbourne,Cairns - Melbourne,236,243.4947071
,12806,2025,5,202505,Cairns,Sydney,Cairns - Sydney,264,272.3839097
,12807,2025,5,202505,Cairns,Townsville,Cairns - Townsville,328,338.4163726
,12808,2025,5,202505,Canberra,Gold Coast,Canberra - Gold Coast,200,206.3514467
,12809,2025,5,202505,Canberra,Melbourne,Canberra - Melbourne,208,214.6055046
,12810,2025,5,202505,Canberra,Sydney,Canberra - Sydney,410.01,423.0307833
,12811,2025,5,202505,Coffs Harbour,Sydney,Coffs Harbour - Sydney,378,390.0042343
,12812,2025,5,202505,Darwin,Melbourne,Darwin - Melbourne,438,451.9096683
,12813,2025,5,202505,Darwin,Perth,Darwin - Perth,624,643.8165138
,12814,2025,5,202505,Darwin,Sydney,Darwin - Sydney,450,464.2907551
,12815,2025,5,202505,Devonport,Melbourne,Devonport - Melbourne,358,369.3690896
,12816,2025,5,202505,Dubbo,Sydney,Dubbo - Sydney,398,410.639379
,12817,2025,5,202505,Gold Coast,Sydney,Gold Coast - Sydney,120,123.810868
,12818,2025,5,202505,Hamilton Island,Sydney,Hamilton Island - Sydney,234,241.4311927
,12819,2025,5,202505,Hobart,Melbourne,Hobart - Melbourne,308,317.7812279
,12820,2025,5,202505,Hobart,Sydney,Hobart - Sydney,264,272.3839097
,12821,2025,5,202505,Kalgoorlie,Perth,Kalgoorlie - Perth,478,493.1799577
,12822,2025,5,202505,Karratha,Perth,Karratha - Perth,730.88,754.0907269
,12823,2025,5,202505,Launceston,Melbourne,Launceston - Melbourne,284,293.0190543
,12824,2025,5,202505,Launceston,Sydney,Launceston - Sydney,145,149.6047989
,12825,2025,5,202505,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,190,196.0338744
,12826,2025,5,202505,Sunshine Coast,Sydney,Sunshine Coast - Sydney,124,127.937897
,12827,2025,5,202505,Melbourne,Gold Coast,Melbourne - Gold Coast,179,184.6845448
,12828,2025,5,202505,Melbourne,Mildura,Melbourne - Mildura,368,379.686662
,12829,2025,5,202505,Melbourne,Perth,Melbourne - Perth,408,420.9569513
,12830,2025,5,202505,Melbourne,Sydney,Melbourne - Sydney,166,171.2717008
,12831,2025,5,202505,Melbourne,Townsville,Melbourne - Townsville,332,342.5434016
,12832,2025,5,202505,Melbourne,Newcastle,Melbourne - Newcastle,128,132.0649259
,12833,2025,5,202505,Paraburdoo,Perth,Paraburdoo - Perth,778,802.7071277
,12834,2025,5,202505,Perth,Newman,Perth - Newman,725,748.0239944
,12835,2025,5,202505,Perth,Port Hedland,Perth - Port Hedland,683.99,705.7116302
,12836,2025,5,202505,Perth,Sydney,Perth - Sydney,538,555.0853917
,12837,2025,5,202505,Port Macquarie,Sydney,Port Macquarie - Sydney,358,369.3690896
,12838,2025,5,202505,Sydney,Tamworth,Sydney - Tamworth,458,472.544813
,12839,2025,5,202505,Sydney,Townsville,Sydney - Townsville,293,302.3048694
,12840,2025,5,202505,Sydney,Wagga Wagga,Sydney - Wagga Wagga,398,410.639379
,12841,2025,6,202506,Adelaide,Alice Springs,Adelaide - Alice Springs,500,515.8786168
,12842,2025,6,202506,Adelaide,Brisbane,Adelaide - Brisbane,504,520.0056457
,12843,2025,6,202506,Adelaide,Canberra,Adelaide - Canberra,642.01,662.3984615
,12844,2025,6,202506,Adelaide,Darwin,Adelaide - Darwin,891,919.2956951
,12845,2025,6,202506,Adelaide,Gold Coast,Adelaide - Gold Coast,405,417.8616796
,12846,2025,6,202506,Adelaide,Melbourne,Adelaide - Melbourne,160,165.0811574
,12847,2025,6,202506,Adelaide,Perth,Adelaide - Perth,450,464.2907551
,12848,2025,6,202506,Adelaide,Port Lincoln,Adelaide - Port Lincoln,358,369.3690896
,12849,2025,6,202506,Adelaide,Sydney,Adelaide - Sydney,334,344.606916
,12850,2025,6,202506,Albury,Sydney,Albury - Sydney,378,390.0042343
,12851,2025,6,202506,Avalon,Gold Coast,Avalon - Gold Coast,237,244.5264644
,12852,2025,6,202506,Avalon,Sydney,Avalon - Sydney,148,152.7000706
,12853,2025,6,202506,Ayers Rock,Sydney,Ayers Rock - Sydney,781,805.8023994
,12854,2025,6,202506,Ballina,Sydney,Ballina - Sydney,96,99.04869442
,12855,2025,6,202506,Brisbane,Cairns,Brisbane - Cairns,274,282.701482
,12856,2025,6,202506,Brisbane,Canberra,Brisbane - Canberra,348,359.0515173
,12857,2025,6,202506,Brisbane,Darwin,Brisbane - Darwin,594,612.8637968
,12858,2025,6,202506,Brisbane,Emerald,Brisbane - Emerald,498,513.8151023
,12859,2025,6,202506,Brisbane,Gladstone,Brisbane - Gladstone,455.01,469.4598589
,12860,2025,6,202506,Brisbane,Hamilton Island,Brisbane - Hamilton Island,582,600.48271
,12861,2025,6,202506,Brisbane,Hobart,Brisbane - Hobart,761.99,786.1886944
,12862,2025,6,202506,Brisbane,Launceston,Brisbane - Launceston,574,592.2286521
,12863,2025,6,202506,Brisbane,Mackay,Brisbane - Mackay,168,173.3352152
,12864,2025,6,202506,Brisbane,Melbourne,Brisbane - Melbourne,250,257.9393084
,12865,2025,6,202506,Brisbane,Mount Isa,Brisbane - Mount Isa,783.99,808.8873536
,12866,2025,6,202506,Brisbane,Perth,Brisbane - Perth,538,555.0853917
,12867,2025,6,202506,Brisbane,Proserpine,Brisbane - Proserpine,416,429.2110092
,12868,2025,6,202506,Brisbane,Rockhampton,Brisbane - Rockhampton,306.01,315.7280311
,12869,2025,6,202506,Brisbane,Sydney,Brisbane - Sydney,227,234.208892
,12870,2025,6,202506,Brisbane,Townsville,Brisbane - Townsville,524,540.6407904
,12871,2025,6,202506,Brisbane,Newcastle,Brisbane - Newcastle,158,163.0176429
,12872,2025,6,202506,Broome,Perth,Broome - Perth,560,577.7840508
,12873,2025,6,202506,Bundaberg,Brisbane,Bundaberg - Brisbane,391,403.4170783
,12874,2025,6,202506,Cairns,Gold Coast,Cairns - Gold Coast,469,483.8941426
,12875,2025,6,202506,Cairns,Melbourne,Cairns - Melbourne,376,387.9407198
,12876,2025,6,202506,Cairns,Sydney,Cairns - Sydney,294,303.3366267
,12877,2025,6,202506,Cairns,Townsville,Cairns - Townsville,328,338.4163726
,12878,2025,6,202506,Canberra,Gold Coast,Canberra - Gold Coast,328.01,338.4266902
,12879,2025,6,202506,Canberra,Melbourne,Canberra - Melbourne,168,173.3352152
,12880,2025,6,202506,Canberra,Sydney,Canberra - Sydney,430.01,443.665928
,12881,2025,6,202506,Coffs Harbour,Sydney,Coffs Harbour - Sydney,398,410.639379
,12882,2025,6,202506,Darwin,Melbourne,Darwin - Melbourne,758,782.0719831
,12883,2025,6,202506,Darwin,Perth,Darwin - Perth,808,833.6598447
,12884,2025,6,202506,Darwin,Sydney,Darwin - Sydney,726,749.0557516
,12885,2025,6,202506,Devonport,Melbourne,Devonport - Melbourne,338,348.733945
,12886,2025,6,202506,Dubbo,Sydney,Dubbo - Sydney,398,410.639379
,12887,2025,6,202506,Gold Coast,Sydney,Gold Coast - Sydney,170,175.3987297
,12888,2025,6,202506,Hamilton Island,Sydney,Hamilton Island - Sydney,374,385.8772054
,12889,2025,6,202506,Hobart,Melbourne,Hobart - Melbourne,138,142.3824982
,12890,2025,6,202506,Hobart,Sydney,Hobart - Sydney,218,224.9230769
,12891,2025,6,202506,Kalgoorlie,Perth,Kalgoorlie - Perth,557.99,575.7102188
,12892,2025,6,202506,Karratha,Perth,Karratha - Perth,823.98,850.1473253
,12893,2025,6,202506,Launceston,Melbourne,Launceston - Melbourne,104,107.3027523
,12894,2025,6,202506,Launceston,Sydney,Launceston - Sydney,186,191.9068454
,12895,2025,6,202506,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,289,298.1778405
,12896,2025,6,202506,Sunshine Coast,Sydney,Sunshine Coast - Sydney,136,140.3189838
,12897,2025,6,202506,Melbourne,Gold Coast,Melbourne - Gold Coast,208,214.6055046
,12898,2025,6,202506,Melbourne,Mildura,Melbourne - Mildura,338,348.733945
,12899,2025,6,202506,Melbourne,Perth,Melbourne - Perth,548,565.402964
,12900,2025,6,202506,Melbourne,Sydney,Melbourne - Sydney,166,171.2717008
,12901,2025,6,202506,Melbourne,Townsville,Melbourne - Townsville,706,728.4206069
,12902,2025,6,202506,Melbourne,Newcastle,Melbourne - Newcastle,158,163.0176429
,12903,2025,6,202506,Paraburdoo,Perth,Paraburdoo - Perth,898,926.5179958
,12904,2025,6,202506,Perth,Newman,Perth - Newman,840.01,866.6863938
,12905,2025,6,202506,Perth,Port Hedland,Perth - Port Hedland,865.98,893.4811291
,12906,2025,6,202506,Perth,Sydney,Perth - Sydney,458,472.544813
,12907,2025,6,202506,Port Macquarie,Sydney,Port Macquarie - Sydney,298,307.4636556
,12908,2025,6,202506,Sydney,Tamworth,Sydney - Tamworth,432,445.7191249
,12909,2025,6,202506,Sydney,Townsville,Sydney - Townsville,573,591.1968948
,12910,2025,6,202506,Sydney,Wagga Wagga,Sydney - Wagga Wagga,398,410.639379
,12911,2025,7,202507,Adelaide,Alice Springs,Adelaide - Alice Springs,511.99,527.1333662
,12912,2025,7,202507,Adelaide,Brisbane,Adelaide - Brisbane,281,289.3112676
,12913,2025,7,202507,Adelaide,Canberra,Adelaide - Canberra,538.01,553.9229718
,12914,2025,7,202507,Adelaide,Darwin,Adelaide - Darwin,792,815.4253521
,12915,2025,7,202507,Adelaide,Gold Coast,Adelaide - Gold Coast,277,285.1929577
,12916,2025,7,202507,Adelaide,Melbourne,Adelaide - Melbourne,164,168.8507042
,12917,2025,7,202507,Adelaide,Perth,Adelaide - Perth,387,398.4464789
,12918,2025,7,202507,Adelaide,Port Lincoln,Adelaide - Port Lincoln,358,368.5887324
,12919,2025,7,202507,Adelaide,Sydney,Adelaide - Sydney,224,230.6253521
,12920,2025,7,202507,Albury,Sydney,Albury - Sydney,378,389.1802817
,12921,2025,7,202507,Avalon,Gold Coast,Avalon - Gold Coast,285,293.4295775
,12922,2025,7,202507,Avalon,Sydney,Avalon - Sydney,122,125.6084507
,12923,2025,7,202507,Ayers Rock,Sydney,Ayers Rock - Sydney,1133,1166.511268
,12924,2025,7,202507,Ballina,Sydney,Ballina - Sydney,98,100.8985915
,12925,2025,7,202507,Brisbane,Cairns,Brisbane - Cairns,220,226.5070423
,12926,2025,7,202507,Brisbane,Canberra,Brisbane - Canberra,359,369.6183099
,12927,2025,7,202507,Brisbane,Darwin,Brisbane - Darwin,593,610.5394366
,12928,2025,7,202507,Brisbane,Emerald,Brisbane - Emerald,510,525.084507
,12929,2025,7,202507,Brisbane,Gladstone,Brisbane - Gladstone,470,483.9014085
,12930,2025,7,202507,Brisbane,Hamilton Island,Brisbane - Hamilton Island,544,560.0901408
,12931,2025,7,202507,Brisbane,Hobart,Brisbane - Hobart,492,506.5521127
,12932,2025,7,202507,Brisbane,Launceston,Brisbane - Launceston,493,507.5816901
,12933,2025,7,202507,Brisbane,Mackay,Brisbane - Mackay,162,166.7915493
,12934,2025,7,202507,Brisbane,Melbourne,Brisbane - Melbourne,281,289.3112676
,12935,2025,7,202507,Brisbane,Mount Isa,Brisbane - Mount Isa,1046,1076.938028
,12936,2025,7,202507,Brisbane,Perth,Brisbane - Perth,492,506.5521127
,12937,2025,7,202507,Brisbane,Proserpine,Brisbane - Proserpine,307,316.0802817
,12938,2025,7,202507,Brisbane,Rockhampton,Brisbane - Rockhampton,336.02,345.9586197
,12939,2025,7,202507,Brisbane,Sydney,Brisbane - Sydney,161,165.7619718
,12940,2025,7,202507,Brisbane,Townsville,Brisbane - Townsville,251,258.4239437
,12941,2025,7,202507,Brisbane,Newcastle,Brisbane - Newcastle,131,134.8746479
,12942,2025,7,202507,Broome,Perth,Broome - Perth,880,906.028169
,12943,2025,7,202507,Bundaberg,Brisbane,Bundaberg - Brisbane,394,405.6535211
,12944,2025,7,202507,Cairns,Gold Coast,Cairns - Gold Coast,383,394.328169
,12945,2025,7,202507,Cairns,Melbourne,Cairns - Melbourne,292,300.6366197
,12946,2025,7,202507,Cairns,Sydney,Cairns - Sydney,251,258.4239437
,12947,2025,7,202507,Cairns,Townsville,Cairns - Townsville,378,389.1802817
,12948,2025,7,202507,Canberra,Gold Coast,Canberra - Gold Coast,270,277.9859155
,12949,2025,7,202507,Canberra,Melbourne,Canberra - Melbourne,172,177.0873239
,12950,2025,7,202507,Canberra,Sydney,Canberra - Sydney,412,424.1859155
,12951,2025,7,202507,Coffs Harbour,Sydney,Coffs Harbour - Sydney,378,389.1802817
,12952,2025,7,202507,Darwin,Melbourne,Darwin - Melbourne,738,759.828169
,12953,2025,7,202507,Darwin,Perth,Darwin - Perth,612.99,631.1206901
,12954,2025,7,202507,Darwin,Sydney,Darwin - Sydney,600,617.7464789
,12955,2025,7,202507,Devonport,Melbourne,Devonport - Melbourne,338,347.9971831
,12956,2025,7,202507,Dubbo,Sydney,Dubbo - Sydney,398,409.771831
,12957,2025,7,202507,Gold Coast,Sydney,Gold Coast - Sydney,133,136.9338028
,12958,2025,7,202507,Hamilton Island,Sydney,Hamilton Island - Sydney,218,224.4478873
,12959,2025,7,202507,Hobart,Melbourne,Hobart - Melbourne,337,346.9676056
,12960,2025,7,202507,Hobart,Sydney,Hobart - Sydney,347,357.2633803
,12961,2025,7,202507,Kalgoorlie,Perth,Kalgoorlie - Perth,571.98,588.8977183
,12962,2025,7,202507,Karratha,Perth,Karratha - Perth,845.98,871.0019437
,12963,2025,7,202507,Launceston,Melbourne,Launceston - Melbourne,124,127.6676056
,12964,2025,7,202507,Launceston,Sydney,Launceston - Sydney,248,255.3352113
,12965,2025,7,202507,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,312,321.228169
,12966,2025,7,202507,Sunshine Coast,Sydney,Sunshine Coast - Sydney,124,127.6676056
